source,target
1996716416,2013626527
1996716416,1966001053
1996716416,2041040063
1996716416,2025333233
2093468690,1971492509
2093468690,1999741657
2093468690,1977405945
2093468690,2095105537
2093468690,2085990311
2059390955,2083281122
2059390955,2074471048
2059390955,1798489336
2059390955,1932582440
2059390955,2083511573
2059390955,2008235313
2059390955,2048361180
2144709937,1971492509
2144709937,2074665709
2144709937,1973049152
2144709937,2085990311
2016685829,2058105619
2016685829,1513488900
2016685829,2148982690
2039824329,1504183433
2039824329,2043002852
2039824329,1989837633
2039824329,2004638404
2039824329,1996922388
2039824329,2086349579
2039824329,1481905924
2039824329,2018297962
2039824329,2147809505
2039824329,2060133927
2039824329,1997841652
2039824329,2087375155
2039824329,2086871164
2039824329,1990453689
2039824329,2017313399
2039824329,2023360712
2039824329,1989914450
2039824329,2045381284
2039824329,2060948559
2039824329,2098526008
2039824329,1565635388
2039824329,2053847316
2039824329,33876368
2035647158,2170059286
2035647158,1964886583
1530780495,2083197550
1530780495,201224041
1530780495,1916920390
1530780495,2041040063
1530780495,2299529876
1530780495,2320121120
1530780495,2078123721
2063833216,2106351948
1540377832,1880836256
2057783847,2164345547
1977405945,1999741657
1977405945,2095105537
1977405945,735113
1977405945,2085990311
2116955146,1504183433
2116955146,2073764051
2116955146,2021511333
2033472262,2202777762
2033472262,2083511573
2169149460,2106351948
2169149460,2063833216
2153184345,1497653339
2115906603,2140558412
2115906603,1983754633
2115906603,2079584306
2095105537,2073691881
2095105537,2045333370
2095105537,2471613662
2013626527,2083511573
1967368049,2083281122
1967368049,2091460873
1967368049,1932582440
1967368049,2027322285
1967368049,1707484866
1967368049,2033569146
1940182112,2043002852
1940182112,2086349579
1940182112,201224041
1940182112,2077894907
1940182112,1990453689
1940182112,2118803519
1940182112,1972313293
1940182112,2094008368
1940182112,2299529876
1940182112,1565635388
1940182112,810114590
1940182112,2130399979
1940182112,1975517954
2005426878,2043002852
2005426878,2068580990
2005426878,1993243599
1880836256,1540377832
2043841568,2164345547
2043841568,2058105619
2043841568,2148982690
2111374930,2164345547
